consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
"hola, hice hace un mes y algo el tramite online para el boleto estudiantil provincial pero no me asignaron nada en la sube. cuando quiero hacer el tramite otra vez me dice que ya tengo un beneficio asignado. &iquest;qué tengo que hacer? ",4,1,5,1,2019,1,8,4,1,1,3,2,237,0.0,0.7974683544303798,1,43,25,0.8372093023255814,0.02109704641350211,2,0,37.415314,Boleto Universitario
"hola, en la página dice que tengo asignado el boleto estudiantil provincial, pero hace varios meses apoyo la sube en las correspondientes terminales y no me carga ningún beneficio. que puedo hacer? gracias  ",1,3,10,2,2019,3,7,4,1,0,3,2,207,0.0,0.8164251207729468,2,35,17,0.8857142857142857,0.01932367149758454,1,0,34.81903,Boleto Universitario
"yo hace casi un mes hice el tramite para la sube, en el cual te cargan todos los meses credito. queria saber cuanto tarda en aplicarse el beneficio. por que cuando entro para hacer el tramite devuelta me dice que ya tengo un beneficio asigando, pero cuando voy me dice que no hay cargas pendientes. ",0,5,7,1,2018,3,8,4,1,1,3,2,299,0.0,0.7993311036789298,0,56,33,0.7857142857142857,0.016722408026755852,3,0,33.004665,Boleto Universitario
"hola que tal?, buenos días.  quería consultar sobre el beneficio del boleto estudiantil provincial. realice el tramite hace dos meses y todavía no me lo asignaron, ya ingrese la tarjeta sube en el aparato del buffet de la universidad y no recibo nada. cuando ingreso a la pagina de la unlu para hacer nuevamente el tramite, dice que mi beneficio ya fue asignado. quisiera saber que tengo que hacer. muchas gracias. saludos.  ",4,2,7,1,2018,0,8,4,1,1,43,2,425,0.0,0.8,3,75,38,0.7733333333333333,0.02588235294117647,7,0,33.004196,Boleto Universitario
"hola queria saber xque no puedo hacer el boleto estudiantil provincial, me dice q ya tengo un beneficio asignado. ",1,3,5,1,2019,3,7,4,1,1,19,4,114,0.0,0.8157894736842105,0,20,10,1.0,0.017543859649122806,1,0,31.86008,Boleto Universitario
buenas noches queria consultar si puedo tener dos beneficios estudiantiles en la sube ya que quisiera hacer el tramite del boleto estudiantil gratuito ,0,1,3,1,2018,3,6,3,1,1,43,12,151,0.0,0.847682119205298,0,24,10,1.0,0.0,1,0,31.696363,Boleto Universitario
"hola buenos dias, me comunicaba por el tema del boleto estudiantil provincial , hice todos los pasos hace como un mes me dice que ya tengo un  beneficio asignado pero aún no me cargaron nada en la sube tampoco hubo descuento,  quisiera saber porque! muchas gracias ",1,4,4,1,2019,0,6,4,1,1,5,2,265,0.0,0.8037735849056604,1,49,30,0.8979591836734694,0.01509433962264151,1,0,31.509037,Boleto Universitario
"hola!!quería hacer una consulta con respecto al boleto estudiantil... hice el tramite,pero me dice que ya poseo un beneficio asignado  a que se refiere??? porque yo no poseo sube con descuento,gracias.                       saludos:lilian gomez ",0,2,3,1,2018,1,4,3,1,1,52,4,245,0.0,0.7224489795918367,1,57,41,0.543859649122807,0.04897959183673469,4,0,31.132340999999997,Boleto Universitario
"el boleto estudiantil dice que ya tengo el beneficio otorgado pero no se carga a mi tarjeta sube, que tengo qur hacer? yo hice el tramite el año pasado ",1,1,3,1,2018,1,7,4,1,1,3,4,152,0.0,0.7960526315789473,0,30,18,0.8333333333333334,0.013157894736842105,1,0,30.880102,Boleto Universitario
"hace mas o menos un mes hice el tramite por el boleto estudiantil provincial, y ahora cuando lo quiero volver a hacer porque al parecer no salí beneficiada ya que no me cargaron la sube; me dice que ya tengo un beneficio asignado. que quiere decir eso? ",4,4,8,2,2018,1,5,3,1,1,0,4,253,0.0,0.7984189723320159,1,48,28,0.8541666666666666,0.015810276679841896,1,0,30.765615000000004,Boleto Universitario
"buenas tardes, inicie el tramite para el boleto estudiantil provincial pero aun no tengo el beneficio. en mi perfil de estudiante dice que ya tengo un beneficio asignado.&iquest;quisiera saber cuando voy a poder usar el beneficio? muchas gracias ",1,2,3,1,2018,2,4,4,1,1,54,2,246,0.0,0.8211382113821138,0,39,19,0.8974358974358975,0.02032520325203252,2,0,30.662374,Boleto Universitario
"hola buenas tardes, quería saber por qué me aparece que ya soy beneficiaria del boleto estudiantil, y cuando acerco mi tarjeta sube a la terminal para hacer la correspondiente carga, me dice que no tengo saldo para cargar. muchas gracias, saludos ",0,3,3,1,2019,3,7,4,1,1,54,2,247,0.0,0.8137651821862348,2,42,21,0.9047619047619048,0.020242914979757085,1,0,30.526081,Boleto Universitario
hola buenas! queria conultar por el boleto estudiantil ya hice el tramite pero dice que tengo un beneficio asignado..quisiera saber cual es ese beneficio?? por que no se puede completar mi solicitud?? ,3,3,5,1,2017,0,5,3,1,1,54,2,201,0.0,0.8059701492537313,0,33,19,0.9090909090909091,0.03482587064676617,2,0,29.750422999999998,Boleto Universitario
"buenos días. hice el tramite del boleto estudiantil provincial pero a la semana me robaron la sube, la di de baja y puse otra a mi nombre. cuando quise volver a hacer el tramite me dice que ya tengo asignado un beneficio pero no me cargaron nada. &iquest;como puedo hacer para cancelar el tramite o hacer que me carguen en la nueva sube?  ",0,2,8,2,2018,1,8,4,1,1,2,2,339,0.0,0.7905604719764012,1,65,36,0.7384615384615385,0.017699115044247787,3,0,29.257391,Boleto Universitario
"hola buenas tardes, queria consultar por el tema del boleto estudiantil provincial. yo realice el tramite y me dice que tengo un beneficio otorgado pero de todas formas no se me brinda la carga en mi sube. ni en el mes de abril , ni de mayo se me cargo nada no sabría por que.  gracias  ",5,1,5,1,2019,1,7,4,1,1,54,4,287,0.0,0.7804878048780488,1,59,38,0.7796610169491526,0.017421602787456445,3,0,29.2528,Boleto Universitario
"buenas tardes,                          quise tramitar el boleto estudiantil provincial y me figura como que ya tengo un beneficio asignado. lo cual no comprendo porque no tengo ningún beneficio anterior a realizar este trámite. quisiera saber si se puedo realizar con éxito el trámite del boleto estudiantil o si hubo un error.   &iexcl;muchas gracias! ",1,1,3,1,2018,1,3,4,1,1,3,2,354,0.0,0.7570621468926554,4,80,50,0.55,0.01694915254237288,3,0,29.193357000000002,Boleto Universitario
"buenas noches, una consulta, quería saber si la carga de la sube del boleto universitario se cargan a partir del mes que viene? yo ingreso a la página,acepto los términos y condiciones y me dice que ya tengo el beneficio, pero aun no se me carga en la sube  ",5,4,3,1,2018,3,7,4,1,1,54,8,258,0.0,0.7868217054263565,3,51,33,0.7647058823529411,0.01937984496124031,1,0,29.06124,Boleto Universitario
"buenas tardes queria saber porque me dice error de credenciales al momento de hacer el boleto estudiantil provincial , hasta el mes pasado pude cargar el dia de hoy quiero cargarlo y no poseo mas el beneficio&iquest; que tengo que hacer ? ",0,1,3,1,2018,0,6,3,1,1,3,4,239,0.0,0.8075313807531381,0,43,22,0.8372093023255814,0.012552301255230125,1,0,29.039064,Boleto Universitario
"buenos dias, el año pasado yo tenia asignado el boleto estudiantil provincial, pero se me rompio la sube, entonces la denuncie por rotura, este año me compre otra sube, la registre a mi nombre e intente hacer el boleto estudiantil provincial pero no me deja hacerlo, porque dice que ya poseo el beneficio. &iquest;como puedo hacer para asignarle el beneficio a mi sube nueva? ",5,3,4,1,2018,1,7,3,1,1,25,2,376,0.0,0.8031914893617021,0,65,33,0.7538461538461538,0.023936170212765957,1,0,28.83735,Boleto Universitario
"hola quise hacer el tramite para el beneficio del boleto estudiantil  y me dice que ya tengo un beneficio asignado, queria saber cual es ese beneficio?? ",3,1,6,1,2017,2,6,3,1,1,54,2,153,0.0,0.803921568627451,0,28,16,0.8928571428571429,0.0196078431372549,1,0,28.791481,Boleto Universitario
