consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
intento hacer el tramite para el boleto estudiantil y me salta un cartel que dice error de credenciales. ,0,1,3,1,2018,0,4,4,1,1,54,24,105,0.0,0.819047619047619,0,19,10,0.9473684210526315,0.009523809523809525,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,24,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,24,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,24,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
"buenos días, al realizar el tramite de boleto estudiantil me aparece un mensaje diciendo &quot;error de credenciales&quot;, por el cual no lo puedo completar y obtener el beneficio. ",0,1,3,1,2018,0,8,4,1,1,54,24,182,0.0,0.8076923076923077,1,29,14,0.896551724137931,0.027472527472527472,1,0,22.983032,Boleto Universitario
no puedo hacer el tramite de boleto estudiantil provincial. me salta error de credenciales. no se que debo hacer. pueden ayudarme? ,0,1,3,1,2018,1,4,2,1,1,8,16,131,0.0,0.8091603053435115,0,22,10,0.9090909090909091,0.030534351145038167,3,0,22.177647,Boleto Universitario
"buenas tardes queria saber porque me dice error de credenciales al momento de hacer el boleto estudiantil provincial , hasta el mes pasado pude cargar el dia de hoy quiero cargarlo y no poseo mas el beneficio&iquest; que tengo que hacer ? ",0,1,3,1,2018,0,6,3,1,1,3,24,239,0.0,0.8075313807531381,0,43,22,0.8372093023255814,0.012552301255230125,1,0,21.080560000000002,Boleto Universitario
"buen día. quería tramitar el beneficio de boleto estudiantil pero cuando inicio el trámite me dice error de credenciales. como puedo proceder para obtenerlo. muchas gracias. saludos, elizabeth ",0,1,3,1,2018,1,2,4,1,0,54,24,193,0.0,0.8290155440414507,3,29,12,0.9310344827586207,0.025906735751295335,4,0,20.477945000000002,Boleto Universitario
"al intentar gestionar el boleto estudiantil de la pcia de bs as, me arroja el siguiente error: &quot; error de credenciales&quot; nota: la tarjeta sube ya está registrada y he aceptado los términos y condiciones. ",2,3,6,1,2019,0,4,1,1,1,54,28,213,0.0,0.7981220657276995,2,36,20,0.8611111111111112,0.028169014084507043,1,0,20.073007999999998,Boleto Universitario
"buenas días, cuando ingreso a iniciar trámite de boleto estudiantil me aparece la siguiente leyenda: &quot;error de credenciales&quot;. el beneficio lo tuve el año pasado entre octubre y noviembre.  ",0,1,3,1,2018,0,3,4,1,1,54,24,199,0.0,0.8090452261306532,2,31,13,0.9032258064516129,0.03015075376884422,2,0,19.676207,Boleto Universitario
"hola que tal quise inscribirme para el boleto estudiantil y me aparece error de credenciales, tengo la sube registrada a mi nombre y el año pasado ya tube el bemeficio muchas gracias!!! ",0,1,3,1,2018,0,7,2,1,1,54,16,186,0.0,0.8064516129032258,0,33,19,0.9090909090909091,0.021505376344086023,1,0,19.602472,Boleto Universitario
"buenos días, quise iniciar el proceso para el beneficio del boleto estudiantil pero la pagina me dice &quot;error de credenciales&quot;. me pueden decir a que se debe?  gracias. salduos. mauro. ",4,1,2,1,2018,0,4,4,1,1,43,24,194,0.0,0.788659793814433,1,32,15,0.90625,0.041237113402061855,4,0,19.422732999999997,Boleto Universitario
"para comenzar la solicitud de la sube al iniciar el tramite me dice error de credenciales, a que se debe?? o como hago ? ",0,1,3,1,2018,0,2,1,1,1,8,24,121,0.0,0.768595041322314,0,25,18,0.92,0.03305785123966942,1,0,19.205063,Boleto Universitario
buenas noches me dirijo por este medio para saber hasta cuando estaba o esta vigente el beneficio del boleto estudiantil ya que cuando quiero comenzarlo me poner &quot; error de credenciales&quot;. desde ya muchas gracias. ,1,3,6,1,2019,3,8,4,1,1,3,16,223,0.0,0.8161434977578476,0,36,14,0.9166666666666666,0.017937219730941704,2,0,18.470943,Boleto Universitario
"hola, hice hace un mes y algo el tramite online para el boleto estudiantil provincial pero no me asignaron nada en la sube. cuando quiero hacer el tramite otra vez me dice que ya tengo un beneficio asignado. &iquest;qué tengo que hacer? ",4,1,5,1,2019,1,8,4,1,1,3,16,237,0.0,0.7974683544303798,1,43,25,0.8372093023255814,0.02109704641350211,2,0,18.20725,Boleto Universitario
buenas tardes! el mes pasado ya inicie el tramite para recibir el beneficio del boleto estudiantil pero hasta ahora no lo recibo. ,2,1,6,1,2018,1,7,4,1,1,5,16,130,0.0,0.8153846153846154,0,23,11,0.9130434782608695,0.015384615384615385,1,0,18.075127,Boleto Universitario
