Consulta|dia_semana|semana_del_mes|mes|cuatrimestre|anio|hora_discretizada|dni_discretizado|legajo_discretizado|posee_legajo|posee_telefono|carrera_valor|proveedor_correo|Clase|cantidad_caracteres|proporcion_mayusculas|proporcion_letras|cantidad_tildes|cantidad_palabras|cantidad_palabras_cortas|proporcion_palabras_distintas|frecuencia_signos_puntuacion|cantidad_oraciones|utiliza_codigo_asignatura
hola quiero anotarme a las materias ,para el segundo cuatri ,pero no puedo ,dice que no estoy en condiciones,me podrian decir que tengo que hacer,muchas gracias  |0|1|8|2|2019|0|3|4|1|1|52|gmail|Vacunas Enfermería|162|0.0|0.8024691358024691|0|28|12|0.8571428571428571|0.030864197530864196|1|0
hola buenos días! quería saber cuando voy a poder anotarme en las materias ya que yo estaba inhabilitada por que se me había vencido la prorroga del analítico . pero ya entregue todo lo que correspondía hace una semana. espero su respuesta y dispulpe la molestia. saludos! |1|2|8|2|2017|1|3|3|1|1|52|outlook|Vacunas Enfermería|273|0.0|0.8095238095238095|5|48|26|0.9166666666666666|0.018315018315018316|3|0
hola quisiera saber si en la consulta de situación académica deberían aparecer las notas de estos primeros parciales, ya que no me parecen y vi en la página que ya deberían estar  |2|5|5|1|2017|3|8|3|1|0|54|gmail|Situación Académica|180|0.0|0.8111111111111111|5|34|19|0.7941176470588235|0.005555555555555556|1|0
buenas noches. en mi situacion academica aparece que no promovi el final de constitución. y aquel final se aprobaba con 4 yo saque un 6. podrian darme una respuesta por favor. gracias. |0|1|2|1|2018|3|5|3|1|1|5|hotmail|Situación Académica|185|0.0|0.7891891891891892|1|33|16|0.9696969696969697|0.02702702702702703|5|0
hola,  quisiera obtener mi promedio o saber como lo puedo calcular. gracias.  |5|1|8|2|2016|1|3|1|1|1|54|hotmail|Situación Académica|78|0.0|0.782051282051282|0|15|7|0.8666666666666667|0.038461538461538464|2|0
hola! pregunta... estoy cursando la carrera de contador público e hice la simultaneidad para que me reconozcan las asiganturas comunes a la lic. en administración. &iquest;las asignaturas comunes tengo que anotarme con los 2 legajos (el de contador y el de lic.) o s&ograve;lo con anotarme con el legajo de contador alcanza? |0|2|8|2|2016|1|3|2|1|1|54|outlook|Situación Académica|325|0.0|0.7938461538461539|2|53|28|0.7547169811320755|0.03076923076923077|6|0
hola buenos días, en principio gracias por la respuesta. ingrese a situación académica finales y me pude encontrar con las calificaciones. lo que me llamo la atención de esto es que no me figura deportes individuales y su enseñanza ii (dos) la cual yo ya curse y promoví con 7. espero su respuesta, gracias !! |2|3|2|1|2016|0|4|2|1|1|43|hotmail|Situación Académica|310|0.0|0.7903225806451613|5|56|33|0.8214285714285714|0.02258064516129032|3|0
solicite durante el transcurso de este primer cuatrimestre que se rectifique mi caligicacion de la asignatura medios de pago del comercio internacional. promovi esa asignatura con un 8 , pero en mi perfil esta con calificacion 7 . y aun no se ha solucionado.  |1|2|7|1|2016|2|5|2|1|1|27|hotmail|Situación Académica|260|0.0|0.8038461538461539|0|46|30|0.8478260869565217|0.015384615384615385|3|0
hola, hace poco me reincribi en la carrera. habia quedado libre. ahora reincripto en plan 1711. tengo una materia en condición de regular desde el 2016 que es taller libre 1, quería saber si perdí la regularidad al haber quedado libre en la carrera. como figuro en el sistema? |1|5|8|2|2017|0|3|1|1|1|17|gmail|Situación Académica|277|0.0|0.7653429602888087|3|50|24|0.8|0.02527075812274368|4|0
me dirijo a usted para realizar la siguiente consulta.  en la materia antropologia social figuro como regular pero no figura mi nota de final, siendo que este fue realizado a mediados del año pasado con una calificacion de seis en la universidad de san miguel.  agradeceria respuesta por medio del mail.  desde ya muchas gracias.  |3|1|3|1|2016|0|5|2|1|1|5|gmail|Situación Académica|331|0.0|0.8066465256797583|0|60|34|0.8166666666666667|0.015105740181268883|4|0
