consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
"hola queria saber porque no se me acredita la carga en la sube del boleto estudiantil. muchas gracias.   entro a la pagina , y me aparace que ya tengo el beneficio asignado , pero no se me acredita la carga. y a todo el mundo se le acredito , gracias ! ",1,2,4,1,2019,2,6,3,1,1,3,7,253,0.0,0.7628458498023716,0,54,34,0.7037037037037037,0.02766798418972332,3,0,45.517703999999995,Boleto Universitario
"hola queria saber porque no se me acredita la carga en la sube del boleto estudiantil. muchas gracias.   entro a la pagina , y me aparace que ya tengo el beneficio asignado , pero no se me acredita la carga. y a todo el mundo se le acredito , gracias ! ",1,2,4,1,2019,2,6,3,1,1,3,7,253,0.0,0.7628458498023716,0,54,34,0.7037037037037037,0.02766798418972332,3,0,45.517703999999995,Boleto Universitario
"yo hace casi un mes hice el tramite para la sube, en el cual te cargan todos los meses credito. queria saber cuanto tarda en aplicarse el beneficio. por que cuando entro para hacer el tramite devuelta me dice que ya tengo un beneficio asigando, pero cuando voy me dice que no hay cargas pendientes. ",0,5,7,1,2018,3,8,4,1,1,3,3,299,0.0,0.7993311036789298,0,56,33,0.7857142857142857,0.016722408026755852,3,0,39.395226,Boleto Universitario
"hola, hace dos meses q me cargan la sube, y en el mes de junio no se me acredito nada, y ahora ya estoy en el mes de agosto y me siguen sin acreditar.. queria saber el porque ",2,1,7,1,2018,0,8,4,1,1,3,7,175,0.0,0.7542857142857143,0,39,24,0.7692307692307693,0.02857142857142857,2,0,37.903893,Boleto Universitario
"hola, en la página dice que tengo asignado el boleto estudiantil provincial, pero hace varios meses apoyo la sube en las correspondientes terminales y no me carga ningún beneficio. que puedo hacer? gracias  ",1,3,10,2,2019,3,7,4,1,0,3,3,207,0.0,0.8164251207729468,2,35,17,0.8857142857142857,0.01932367149758454,1,0,36.964314,Boleto Universitario
"hola buenas tardes, quería saber por qué me aparece que ya soy beneficiaria del boleto estudiantil, y cuando acerco mi tarjeta sube a la terminal para hacer la correspondiente carga, me dice que no tengo saldo para cargar. muchas gracias, saludos ",0,3,3,1,2019,3,7,4,1,1,54,3,247,0.0,0.8137651821862348,2,42,21,0.9047619047619048,0.020242914979757085,1,0,36.840346999999994,Boleto Universitario
buenos dias. queria consultar sobre la carga de credito en la tarjeta sube. el mes pasado se me acredito pero este mes no. tengo que volver a realizar la solicitud? gracias ,2,2,3,1,2019,0,5,4,1,1,5,7,173,0.0,0.7976878612716763,0,32,16,0.90625,0.023121387283236993,3,0,36.656009999999995,Boleto Universitario
me dice que ya poseo él beneficio del boleto estudiantil  pero no me acreditan él saldo en la sube ,3,1,4,1,2019,3,7,4,1,1,5,14,99,0.0,0.797979797979798,2,21,15,0.8571428571428571,0.0,1,0,36.45194,Boleto Universitario
"hola que tal, tengo asignado el boleto estudiantil y desde principio de año que no puedo cargar, me comunique con sube y me dicen que no tengo cargas pendientes que me comunique con ustedes, desde marzo que no se me acredita... gracias espero solucion ",6,1,10,2,2019,2,7,4,1,0,5,7,252,0.0,0.8015873015873016,0,45,24,0.6888888888888889,0.023809523809523808,3,0,35.868393,Boleto Universitario
hola buenas tardes! queria saber si ustedes pueden averiguar porque no se me acreditó el credito del saldo estudiantil? aún me figura que tengo el beneficio ,3,4,3,1,2018,2,5,2,1,0,0,7,157,0.0,0.821656050955414,2,27,12,0.9259259259259259,0.012738853503184714,1,0,35.645503999999995,Boleto Universitario
